"SUID","ALSOD","AverageShortestPathLength","BetweennessCentrality","C9","Cell.type","Cell.type.x","Cell.type.y","ClosenessCentrality","ClusteringCoefficient","DEG","DEGPPI","Degree","Eccentricity","GRN","IsSingleNode","Matching.Attribute","Matching.Attribute.1","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","OG_Gene","OG_Gene_GRN","OG_Gene_VCP","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient","VCP"
"16585","false","3.75085763","0.0","false","NA","","","0.26660569","0.0","false","false","2","6","false","false","","ELP2","ELP2","86.0","2","0","false","false","false","1","0.60702034","false","0","ELP2","0","0.0","true"
"16586","false","4.04888508","0.0","false","NA","","","0.24698157","0.0","false","false","1","6","false","false","","HMGB3","HMGB3","24.0","1","0","false","false","false","0","0.56444499","false","0","HMGB3","0","0.0","true"
"16587","false","3.71740995","0.0","false","NA","","","0.2690045","0.0","false","false","1","6","false","false","","C12orf43","C12orf43","283.0","1","0","false","false","false","0","0.61179858","false","0","C12orf43","0","0.0","true"
"16588","false","3.40608919","0.0","false","NA","","","0.29359184","0.0","false","false","1","6","false","false","","GJA9","GJA9","475.0","1","0","false","false","false","0","0.65627297","false","0","GJA9","0","0.0","true"
"16589","false","3.85548885","0.0","false","NA","","","0.25937048","0.0","false","false","1","6","false","false","","ZNF483","ZNF483","145.0","1","0","false","false","false","0","0.59207302","false","0","ZNF483","0","0.0","true"
"16590","false","3.40608919","0.0","false","NA","","","0.29359184","0.0","false","false","1","6","false","false","","IMPDH2","IMPDH2","475.0","1","0","false","false","false","0","0.65627297","false","0","IMPDH2","0","0.0","true"
"16591","false","3.40608919","0.0","false","NA","","","0.29359184","0.0","false","false","1","6","false","false","","FABP1","FABP1","475.0","1","0","false","false","false","0","0.65627297","false","0","FABP1","0","0.0","true"
"16592","false","3.71740995","0.0","false","NA","","","0.2690045","0.0","false","false","1","6","false","false","","RBM15B","RBM15B","283.0","1","0","false","false","false","0","0.61179858","false","0","RBM15B","0","0.0","true"
"16593","false","3.71740995","0.0","false","NA","","","0.2690045","0.0","false","false","1","6","false","false","","FBXO21","FBXO21","283.0","1","0","false","false","false","0","0.61179858","false","0","FBXO21","0","0.0","true"
"16594","false","3.24656947","0.0","false","NA","","","0.30801743","1.0","false","false","2","5","false","false","","ACLY","ACLY","205.5","2","0","false","false","false","0","0.6790615","false","0","ACLY","0","0.51503759","true"
"16595","false","3.71740995","0.0","false","NA","","","0.2690045","0.0","false","false","1","6","false","false","","RAD50","RAD50","283.0","1","0","false","false","false","0","0.61179858","false","0","RAD50","0","0.0","true"
"16596","false","3.71740995","0.0","false","NA","","","0.2690045","0.0","false","false","1","6","false","false","","TBX1","TBX1","283.0","1","0","false","false","false","0","0.61179858","false","0","TBX1","0","0.0","true"
"16597","false","3.71740995","0.0","false","NA","","","0.2690045","0.0","false","false","1","6","false","false","","RSBN1L","RSBN1L","283.0","1","0","false","false","false","0","0.61179858","false","0","RSBN1L","0","0.0","true"
"16598","false","3.09391081","0.00101699","false","NA","","","0.32321552","0.0","false","false","2","6","false","false","","ABI3BP","ABI3BP","452.5","2","0","false","false","false","0","0.70086988","false","0","ABI3BP","283530","0.52622378","true"
"16599","false","3.85548885","0.0","false","NA","","","0.25937048","0.0","false","false","1","6","false","false","","ZNF620","ZNF620","145.0","1","0","false","false","false","0","0.59207302","false","0","ZNF620","0","0.0","true"
"16600","false","3.98499142","0.0","false","NA","","","0.25094157","0.0","false","false","1","6","false","false","","MYL12B","MYL12B","79.0","1","0","false","false","false","0","0.57357265","false","0","MYL12B","0","0.0","true"
"16601","false","3.53816467","0.0","false","NA","","","0.28263241","0.0","false","false","1","6","false","false","","AKAP8L","AKAP8L","430.0","1","0","false","false","false","0","0.63740505","false","0","AKAP8L","0","0.0","true"
"16602","false","3.40608919","0.0","false","NA","","","0.29359184","0.0","false","false","1","6","false","false","","IRF5","IRF5","475.0","1","0","false","false","false","0","0.65627297","false","0","IRF5","0","0.0","true"
"16603","false","3.71740995","0.0","false","NA","","","0.2690045","0.0","false","false","1","6","false","false","","AKR1A1","AKR1A1","283.0","1","0","false","false","false","0","0.61179858","false","0","AKR1A1","0","0.0","true"
