GeneSymbol,GeneSymbol.1,INT
SNRPD1,EEF1A1,PPI
TNIP2,TNFAIP3,PPI
TNFAIP3,SHARPIN,PPI
TNFRSF10B,TNFAIP3,PPI
RNF5,TNFAIP3,PPI
AXIN1,TNFAIP3,PPI
TNFAIP3,GIT2,PPI
TNFAIP3,BIRC3,PPI
TNFAIP3,CASP8,PPI
ALDH9A1,TNFAIP3,PPI
TNFAIP3,FBXO3,PPI
TNFAIP3,TBK1,PPI
TNFAIP3,PPP6R3,PPI
TNFAIP3,LRRC47,PPI
TNFAIP3,RARRES3,PPI
YWHAZ,TNFAIP3,PPI
IRAK2,TNFAIP3,PPI
CDK2,IFITM2,PPI
NUP54,SPEN,PPI
ZBTB5,JADE2,PPI
SHC1,EPS8,PPI
TMX1,NDUFB11,PPI
RPS4X,EEF1A1,PPI
TXNDC9,WASF1,PPI
FLNC,USP53,PPI
KMT2A,HCFC2,PPI
-,SAT1,PPI
TNFAIP3,RNF31,PPI
TNFAIP3,TNFSF10,PPI
TNFAIP3,UBE2N,PPI
TNFAIP3,TRIM2,PPI
TNFAIP3,RNF14,PPI
TNFAIP3,RLIM,PPI
TRIM3,TNFAIP3,PPI
TNFAIP3,TRIM8,PPI
TNFAIP3,TRIM5,PPI
HSP90AA1,TNFAIP3,PPI
TNFAIP3,NFKB2,PPI
TNFAIP3,BIRC2,PPI
TP53,TNFAIP3,PPI
OCLN,TNFAIP3,PPI
TNFAIP3,YWHAQ,PPI
TNFAIP3,RNF114,PPI
UBE2D1,TNFAIP3,PPI
TNFAIP3,TNIP1,PPI
TNFAIP3,TRAF1,PPI
LAMP1,TNFAIP3,PPI
TNFAIP3,GLDC,PPI
TNFAIP3,KIF11,PPI
TNFAIP3,MCM6,PPI
NDUFS1,TNFAIP3,PPI
RNH1,TNFAIP3,PPI
BECN1,TNFAIP3,PPI
TNFAIP3,IRAK1,PPI
TNFAIP3,IRF7,PPI
TNF,TNFAIP3,PPI
TNFRSF1A,TNFAIP3,PPI
TNFAIP3,FADD,PPI
TNFAIP3,MAP3K5,PPI
HNMT,POT1,PPI
PLSCR1,ADCY7,PPI
MUS81,FBXL5,PPI
PLK1,MUS81,PPI
RPS4X,CEP57,PPI
TERF2,DDX21,PPI
PLOD2,TERF2,PPI
UBE2D3,TRIM5,PPI
SUMO1,SMC5,PPI
SGTA,SMC5,PPI
TERF2,MUS81,PPI
MUS81,SLX1B,PPI
TP53,SAT1,PPI
SUMO2,MUS81,PPI
TPP1,POT1,PPI
H3F3C,KAT6A,PPI
RPSA,EEF1A1,PPI
