"SrNo","V1","V2"
109849,"Q6FII3","Q9UQB8"
109850,"O14514","Q9UQB8"
109851,"A6NHU9","Q9UQB8"
109852,"P54259","Q9UQB8"
109853,"B1AK53","Q9UQB8"
109854,"A0A024RCR3","Q9UQB8"
109855,"Q9NZQ3","Q9UQB8"
109856,"Q9HAP6","Q9UQB8"
109888,"P61978","Q96PU8"
109889,"Q96I24","Q96PU8"
109890,"P84101","Q96PU8"
109891,"Q96PU8","Q9Y6N9"
109892,"Q96PU8","Q9UKA9"
109893,"Q86SG3","Q96PU8"
109894,"O43251","Q96PU8"
109902,"J3QT77","P28223"
110023,"Q96PU8","Q99873"
110030,"Q5T3J3","Q99873"
110037,"Q5T3J3","Q99547"
110047,"O60674","Q14289"
110282,"A0A024R240","P28223"
110292,"A0A024R240","P49802"
110295,"A0A024R240","Q14831"
110314,"P28223","P29992"
110339,"Q9NVA2","Q9UHD8"
110413,"H6UYS5","Q14289"
110442,"Q969H0","Q9H2X6"
110443,"P17600","Q59EX7"
110445,"A0A0A0MS52","P17600"
110449,"P17600","P17612"
